Date,Country,Name,Count,Length
07 March 2016,gl,path,480,789.41
07 March 2016,gl,roads_with_designation,0,0.0
07 March 2016,gl,raceway,0,0.0
07 March 2016,gl,unclassified,305,295.65
07 March 2016,gl,tertiary,75,115.58
07 March 2016,gl,secondary,154,80.43
29 February 2016,gl,primary_link,1,20.71
29 February 2016,gl,living_street,18,2.71
29 February 2016,gl,service,420,79.45
29 February 2016,gl,one_way,0,0.0
29 February 2016,gl,track,383,255.02
29 February 2016,gl,residential,700,349.7
29 February 2016,gl,primary,19,78.41
29 February 2016,gl,turn_restrict,0,0.0
29 February 2016,gl,roads_with_names,545,993.41
29 February 2016,gl,motorway,9,62.32
29 February 2016,gl,roads_with_second_lang,0,0.0
29 February 2016,gl,road,24,48.86
29 February 2016,gl,secondary_link,15,0.54
29 February 2016,gl,path,480,789.41
29 February 2016,gl,roads_with_designation,0,0.0
29 February 2016,gl,raceway,0,0.0
29 February 2016,gl,unclassified,305,295.65
29 February 2016,gl,tertiary,75,115.58
29 February 2016,gl,secondary,154,80.43
21 March 2016,gl,primary_link,1,20.71
21 March 2016,gl,living_street,18,2.71
21 March 2016,gl,service,421,79.54
21 March 2016,gl,one_way,0,0.0
21 March 2016,gl,track,383,255.02
21 March 2016,gl,residential,700,349.41
21 March 2016,gl,primary,19,78.41
21 March 2016,gl,turn_restrict,0,0.0
21 March 2016,gl,roads_with_names,548,993.69
21 March 2016,gl,motorway,9,62.32
21 March 2016,gl,roads_with_second_lang,0,0.0
21 March 2016,gl,road,24,48.86
21 March 2016,gl,secondary_link,15,0.54
21 March 2016,gl,path,480,789.41
21 March 2016,gl,roads_with_designation,0,0.0
21 March 2016,gl,raceway,0,0.0
21 March 2016,gl,unclassified,305,295.65
21 March 2016,gl,tertiary,75,115.58
21 March 2016,gl,secondary,154,80.43
14 March 2016,gl,primary_link,1,20.71
14 March 2016,gl,living_street,18,2.71
14 March 2016,gl,service,421,79.5
14 March 2016,gl,one_way,0,0.0
14 March 2016,gl,track,383,255.02
14 March 2016,gl,residential,700,349.41
14 March 2016,gl,primary,19,78.41
14 March 2016,gl,turn_restrict,0,0.0
14 March 2016,gl,roads_with_names,548,993.69
14 March 2016,gl,motorway,9,62.32
14 March 2016,gl,roads_with_second_lang,0,0.0
14 March 2016,gl,road,24,48.86
14 March 2016,gl,secondary_link,15,0.54
14 March 2016,gl,path,480,789.41
14 March 2016,gl,roads_with_designation,0,0.0
14 March 2016,gl,raceway,0,0.0
14 March 2016,gl,unclassified,305,295.65
14 March 2016,gl,tertiary,75,115.58
14 March 2016,gl,secondary,154,80.43
22 February 2016,gl,primary_link,1,20.71
22 February 2016,gl,living_street,18,2.71
22 February 2016,gl,service,420,79.78
22 February 2016,gl,one_way,0,0.0
22 February 2016,gl,track,383,255.02
22 February 2016,gl,residential,699,349.37
22 February 2016,gl,primary,19,78.41
22 February 2016,gl,turn_restrict,0,0.0
22 February 2016,gl,roads_with_names,544,993.41
22 February 2016,gl,motorway,9,62.32
22 February 2016,gl,roads_with_second_lang,0,0.0
22 February 2016,gl,road,24,48.86
22 February 2016,gl,secondary_link,15,0.54
22 February 2016,gl,path,480,789.41
22 February 2016,gl,roads_with_designation,0,0.0
22 February 2016,gl,raceway,0,0.0
22 February 2016,gl,unclassified,305,295.65
22 February 2016,gl,tertiary,75,115.58
22 February 2016,gl,secondary,154,80.43
15 February 2016,gl,primary_link,1,20.71
15 February 2016,gl,living_street,18,2.71
15 February 2016,gl,service,420,79.78
15 February 2016,gl,one_way,0,0.0
15 February 2016,gl,track,383,255.02
15 February 2016,gl,residential,699,349.37
15 February 2016,gl,primary,19,78.41
15 February 2016,gl,turn_restrict,0,0.0
15 February 2016,gl,roads_with_names,544,993.41
15 February 2016,gl,motorway,9,62.32
15 February 2016,gl,roads_with_second_lang,0,0.0
15 February 2016,gl,road,24,48.86
15 February 2016,gl,secondary_link,15,0.54
15 February 2016,gl,path,480,789.41
15 February 2016,gl,roads_with_designation,0,0.0
15 February 2016,gl,raceway,0,0.0
15 February 2016,gl,unclassified,305,295.65
15 February 2016,gl,tertiary,75,115.58
15 February 2016,gl,secondary,154,80.43
21 December 2015,gl,primary_link,1,20.71
21 December 2015,gl,living_street,18,2.71
21 December 2015,gl,service,411,78.5
21 December 2015,gl,one_way,0,0.0
21 December 2015,gl,track,383,255.02
21 December 2015,gl,residential,702,351.37
21 December 2015,gl,primary,19,78.41
21 December 2015,gl,turn_restrict,0,0.0
21 December 2015,gl,roads_with_names,539,991.8
21 December 2015,gl,motorway,9,62.32
21 December 2015,gl,roads_with_second_lang,0,0.0
21 December 2015,gl,road,24,48.86
21 December 2015,gl,secondary_link,16,0.62
21 December 2015,gl,path,481,793.36
21 December 2015,gl,roads_with_designation,0,0.0
21 December 2015,gl,raceway,0,0.0
21 December 2015,gl,unclassified,303,293.21
21 December 2015,gl,tertiary,75,115.58
21 December 2015,gl,secondary,143,76.37
07 December 2015,gl,primary_link,1,20.71
07 December 2015,gl,living_street,18,2.71
07 December 2015,gl,service,411,78.5
07 December 2015,gl,one_way,0,0.0
07 December 2015,gl,track,383,255.02
07 December 2015,gl,residential,702,351.37
07 December 2015,gl,primary,19,78.41
07 December 2015,gl,turn_restrict,0,0.0
07 December 2015,gl,roads_with_names,539,991.8
07 December 2015,gl,motorway,9,62.32
07 December 2015,gl,roads_with_second_lang,0,0.0
07 December 2015,gl,road,24,48.86
